file_name,brand,product_folder,doc_type,success,product_name,cas_numbers,missing_count,provider,model,input_tokens,output_tokens,cache_read_tokens,duration_ms,error,warnings
BELSIL-CDM-3526-VP-TDS-en-2024.06.16.pdf,BELSIL,BELSIL® CDM 3526 VP,SDS,True,BELSIL® CDM 3526 VP,,19,google,gemini-2.5-flash,2206,1265,0,19459,,"The document was identified as an SDS by the prompt, but its content and structure resemble a Technical Data Sheet (TDS) or Product Information Sheet, lacking standard SDS sections (e.g., GHS, CAS, UN, Inventories). This has resulted in many SDS-specific fields being null.; Values from the 'Technical data' table (Appearance, Color, INCI name, Melting point) are explicitly stated as 'only intended as a guide and should not be used in preparing specifications', therefore 'is_specification' is set to false for these values."
BELSIL® CDM 3526 VP ALKYL-MODIFIED SILICONE-SDS-en.pdf,BELSIL,BELSIL® CDM 3526 VP,SDS,True,BELSIL® CDM 3526 VP ALKYL-MODIFIED SILICONE,"541-02-6, 540-97-6",9,google,gemini-2.5-flash,9355,2816,0,39887,,South Korea (AREC) inventory status is not clearly stated as 'listed/complies' or 'not listed'; further information is required.
BELSIL® CDM 3526 VP SOLUBILITY AND COMPATIBILITY.pdf,BELSIL,BELSIL® CDM 3526 VP,Brochure,True,BELSIL® CDM 3526 VP,,24,google,gemini-2.5-flash,2668,861,0,12217,,"The document mentions 'All miscibility trials w ere made at 70 °C', but this refers to a test condition for solubility, not a general temperature range for the product itself."
BELSIL DM 6101 E-SDS-en.pdf,BELSIL,BELSIL® DM 6101 E,SDS,True,"BELSIL DM 6101 E 0,5KG BOTTLE PE",69011-36-5,11,google,gemini-2.5-flash,8406,2245,0,24832,,
BELSIL-DM-6101-E-TDS-en-2024.06.16.pdf,BELSIL,BELSIL® DM 6101 E,SDS,True,BELSIL® DM 6101 E,,17,google,gemini-2.5-flash,2256,1865,0,34327,,"The document provided is a Technical Data Sheet (TDS) or Product Information Sheet, not a Safety Data Sheet (SDS) as indicated in the prompt. Therefore, many SDS-specific fields (e.g., CAS Numbers, GHS Statements, UN Number, Density, Flash Point, Global Inventories, Certifications) could not be extracted as they are not present in this document type.; Grade classification 'Cosmetic' is inferred based on the product's brand (BELSIL for personal care) and stated applications (shampoos, conditioners, hair treatments).; The specific duration of 'shelf_life' is not provided in the document; it only states that the 'Best use before end' date is shown on the product label."
ELASTOSIL-LR-304040-AB-TDS-en-2024.06.16.pdf,ELASTOSIL,ELASTOSIL® LR 3040:40 A:B,Brochure,True,ELASTOSIL® LR 3040/40 A/B,,15,google,gemini-2.5-flash,3334,2009,0,24995,,
ELASTOSIL® LR 3040:40 A-SDS-en.pdf,ELASTOSIL,ELASTOSIL® LR 3040:40 A:B,SDS,True,ELASTOSIL® LR 3040/40 A,,13,google,gemini-2.5-flash,7639,2030,1011,25889,,
ELASTOSIL® LR 3040:40 A:B-RPI-en.pdf,ELASTOSIL,ELASTOSIL® LR 3040:40 A:B,SDS,True,ELASTOSIL® LR 3040/40 A/B,,21,google,gemini-2.5-flash,4122,4755,0,40598,,"The provided document is a 'Regulatory Product Information' (RPI) document, not a 'Safety Data Sheet' (SDS) as implied by the prompt's header. Therefore, many SDS-specific fields (e.g., CAS numbers, GHS statements, UN number, physical properties, chemical components, global inventories) are not present in this document.; The 'grade' is inferred from compliance with pharmaceutical regulations, not explicitly stated as a grade classification.; Information regarding European Pharmacopoeia tests is explicitly stated not to be a specification and not part of regular quality control."
ELASTOSIL® LR 3040:40 B-SDS-en.pdf,ELASTOSIL,ELASTOSIL® LR 3040:40 A:B,SDS,True,ELASTOSIL® LR 3040/40 B,,13,google,gemini-2.5-flash,8426,2422,0,19120,,No GHS Hazard Statements (H-codes) or Precautionary Statements (P-codes) were found as the product is classified as 'Not a hazardous substance or mixture' and 'No labeling according to GHS required' in Section 2.; No UN Number was found as the product is 'Not regulated for transport' in Section 14.
ELASTOSIL-LR-306530-AB-TDS-en-2024.06.16.pdf,ELASTOSIL,ELASTOSIL® LR 3065:30 A:B,Brochure,True,ELASTOSIL® LR 3065/30 A/B,,16,google,gemini-2.5-flash,3067,1879,0,15560,,"The document explicitly states 'These figures are only intended as a guide and should not be used in preparing specifications.' for all technical data tables. Therefore, values extracted from these tables are marked with confidence 'low' and 'is_specification: false'."
ELASTOSIL® LR 3065:30 A-SDS-en.pdf,ELASTOSIL,ELASTOSIL® LR 3065:30 A:B,SDS,True,ELASTOSIL® LR 3065/30 A,,12,google,gemini-2.5-flash,7589,2318,0,29984,,
ELASTOSIL® LR 3065:30 A:B-RPI-en.pdf,ELASTOSIL,ELASTOSIL® LR 3065:30 A:B,SDS,True,ELASTOSIL® LR 3065/30 A/B,,24,google,gemini-2.5-flash,2877,881,0,15991,,"This document is a Regulatory Product Information (RPI) document, not a Safety Data Sheet (SDS). Many SDS-specific fields are not present.; The provided URL is for certificates, not the product itself."
ELASTOSIL® LR 3065:30 B-SDS-en.pdf,ELASTOSIL,ELASTOSIL® LR 3065:30 A:B,SDS,True,ELASTOSIL® LR 3065/30 B,,11,google,gemini-2.5-flash,8200,1854,0,23343,,
ELASTOSIL-LR-306550-AB-TDS-en-2024.06.16.pdf,ELASTOSIL,ELASTOSIL® LR 3065:50 A:B,Brochure,True,ELASTOSIL® LR 3065/50 A/B,,12,google,gemini-2.5-flash,3071,2114,0,14463,,"The product URL provided is a general Wacker website, not a direct product page.; Values from 'Technical data' tables (e.g., Density) are explicitly stated as guides and not for specifications, hence confidence is 'medium' and is_specification is 'false'."
ELASTOSIL® LR 3065:50 A-SDS-en.pdf,ELASTOSIL,ELASTOSIL® LR 3065:50 A:B,SDS,True,ELASTOSIL® LR 3065/50 A,,13,google,gemini-2.5-flash,7577,2362,0,31965,,"No CAS numbers were found in the document, as Section 3.2 indicates that specific chemical identities may be withheld as a trade secret or are below reporting limits.; The product is described as both 'liquid' and 'paste' in Section 9.1. 'Paste' was chosen as the more specific physical form."
ELASTOSIL® LR 3065:50 A:B-RPI-en.pdf,ELASTOSIL,ELASTOSIL® LR 3065:50 A:B,SDS,True,ELASTOSIL® LR 3065/50 A/B,,15,google,gemini-2.5-flash,2877,1892,0,32375,,"The document provided is a 'Regulatory Product Information' document, not a 'Safety Data Sheet (SDS)' as stated in the prompt's 'Document Type' instruction. Therefore, SDS-specific sections (e.g., GHS statements from Section 2, UN number from Section 14, CAS numbers from Section 3, physical properties from Section 9, global inventories from Section 15) could not be extracted from this document.; The prompt specified 'Target Attributes (33 fields)', but the provided JSON schema contains only 27 distinct fields. Extraction was performed based on the 27 fields present in the schema.; Certifications are extracted as compliance statements with specific regulations/directives, as no formal certificate names or numbers were explicitly stated in the document."
ELASTOSIL® LR 3065:50 B-SDS-en.pdf,ELASTOSIL,ELASTOSIL® LR 3065:50 A:B,SDS,True,ELASTOSIL® LR 3065/50 B,,10,google,gemini-2.5-flash,8396,2344,0,19263,,"Physical form: 'liquid' is stated as physical state, while 'paste' is stated as form. 'paste' was chosen as the more specific form.; Grade: 'Technical' grade was inferred from the stated 'Industrial. Raw material for: elastomer products' application, as no higher grade classifications or certifications were present."
ELASTOSIL-LR-306640-AB-TDS-en-2024.06.16.pdf,ELASTOSIL,ELASTOSIL® LR 3066:40 A:B,Brochure,True,ELASTOSIL® LR 3066/40 A/B,,13,google,gemini-2.5-flash,3074,2346,0,24621,,Density value is explicitly stated as 'only intended as a guide and should not be used in preparing specifications' in the document.
ELASTOSIL® LR 3066:40 A-SDS-en.pdf,ELASTOSIL,ELASTOSIL® LR 3066:40 A:B,SDS,True,ELASTOSIL® LR 3066/40 A,,13,google,gemini-2.5-flash,7625,2325,0,26628,,"The product name 'ELASTOSIL® LR 3066/40 A' contains '40 A' which might indicate a grade or hardness, but the document does not explicitly classify it as such. 'grade' attribute is set to null.; No specific CAS numbers are listed in Section 3.2; the document states that ingredients are below permitted limits or withheld as trade secrets.; The status for South Korea (AREC) global inventory is 'Please approach your regular contact for more detailed information.', which is not a definitive 'listed' or 'not listed' status."
ELASTOSIL® LR 3066:40 A:B-RPI-en.pdf,ELASTOSIL,ELASTOSIL® LR 3066:40 A:B,SDS,True,ELASTOSIL® LR 3066/40 A/B,,20,google,gemini-2.5-flash,3949,3665,1000,39112,,"The provided document is a 'Regulatory Product Information' (RPI), not a 'Safety Data Sheet (SDS)' as indicated in the prompt. Many attributes explicitly require an SDS as their source and are therefore marked as missing.; CAS Numbers, Chemical Components, Purity, Physical Form, Density, Flash Point, Temperature Range, Shelf Life, GHS Statements, UN Number, and Global Inventories are explicitly stated to be found in the Safety Data Sheet, which is not this document."
ELASTOSIL® LR 3066:40 B-SDS-en.pdf,ELASTOSIL,ELASTOSIL® LR 3066:40 A:B,SDS,True,ELASTOSIL® LR 3066/40 B,,13,google,gemini-2.5-flash,8030,2085,0,18784,,Physical form: 'liquid' (physical state) and 'paste' (form) were both mentioned. 'paste' was chosen as the more specific form.
EL LR 3675:30 A-SDS-en.pdf,ELASTOSIL,ELASTOSIL® LR 3675:30 A:B,SDS,True,ELASTOSIL® LR 3675/30 A,,13,google,gemini-2.5-flash,7623,3246,0,41558,,AREC (South Korea) inventory status is not explicitly stated as 'listed' or 'compliant'; it advises to 'approach your regular contact for more detailed information'.
EL LR 3675:30 B-SDS-en.pdf,ELASTOSIL,ELASTOSIL® LR 3675:30 A:B,SDS,True,EL LR 3675/30 B 200KG DRUM ST,2530-83-8,8,google,gemini-2.5-flash,9366,2526,0,32038,,"Physical form: 'Physical state' is 'liquid' but 'Form' is 'paste' in Section 9.1. 'paste' was chosen as the more specific description.; Grade: 'Technical' grade is inferred from the main application 'Industrial. Raw material for: elastomer products' and the absence of specific food/pharma grade information.; Blocked Industries: Inferred from usage restrictions in Section 16.1 regarding contact with the human body or bodily fluids.; CAS Numbers: The product is a preparation (mixture) and does not have a single CAS number for the entire product. CAS 2530-83-8 is for a key ingredient. Methanol (CAS 67-56-1) is a hydrolysis by-product and HAPS, not a direct ingredient of the preparation itself."
ELASTOSIL-LR-367530-AB-TDS-en-2024.06.16.pdf,ELASTOSIL,ELASTOSIL® LR 3675:30 A:B,Brochure,True,ELASTOSIL® LR 3675/30 A/B,,19,google,gemini-2.5-flash,3160,2014,0,25849,,"{'attribute': 'density', 'warning': ""Value is from a 'Technical data' table explicitly stated as 'only intended as a guide and should not be used in preparing specifications'. Confidence set to 'medium' and 'is_specification' to 'false'.""}; {'attribute': 'cure_system', 'warning': ""Cure system inferred from 'platinum catalyst' mention, typical for ELASTOSIL LR products. Confidence set to 'low'.""}"
ELASTOSIL-4100-TDS-en-2025.07.22.pdf,ELASTOSIL,Elastosil 4100,Brochure,True,ELASTOSIL® 4100,,14,google,gemini-2.5-flash,3989,3595,0,35941,,"The document explicitly states that 'These figures are only intended as a guide and should not be used in preparing specifications.' for the technical data table. Therefore, values like Density are extracted with `is_specification: false` and `confidence: medium`.; Product URL provided is for the general Wacker website, not a specific product page.; No explicit GHS H/P statements found, only general safety advice regarding acetic acid release and contact with eyes/mucous membranes."
Elastosil-4100-SDS-en.pdf,ELASTOSIL,Elastosil 4100,SDS,True,ELASTOSIL® 4100 TRANSPARENT S1,,13,google,gemini-2.5-flash,17126,3356,0,40107,,"Ambiguous physical form: 'liquid' (Physical state) and 'paste' (Form) are both mentioned. 'paste' was chosen as it is more specific to the product's consistency.; Product is classified as 'Not a hazardous substance or mixture' and 'No labeling according to GHS required', but EUH statements are present and included in ghs_statements."
ELASTOSIL-4300-TDS-en-2024.07.31.pdf,ELASTOSIL,Elastosil 4300,Brochure,True,ELASTOSIL® 4300,,14,google,gemini-2.5-flash,3468,2155,0,17715,,
Elastosil-4300-SDS-en.pdf,ELASTOSIL,Elastosil 4300,SDS,True,ELASTOSIL® 4300 TRANSPARENT S1,"17689-77-9, 70131-67-8, 63148-62-9, 112945-52-5",9,google,gemini-2.5-flash,8582,3214,0,26088,,
ELASTOSIL-4710-TDS-en-2024.07.31.pdf,ELASTOSIL,Elastosil 4710,Brochure,True,ELASTOSIL® 4710,,13,google,gemini-2.5-flash,3705,3315,0,32282,,"Technical data values are explicitly stated as 'only intended as a guide and should not be used in preparing specifications', therefore `is_specification` is set to `false` and confidence to `medium` for these values.; Product URL is a general Wacker website, not specific to the product.; Shelf life is described qualitatively as 'long shelf life' without a specific duration.; GHS statements are descriptive safety notes, not formal H/P codes."
Elastosil-4710-SDS-en.pdf,ELASTOSIL,Elastosil 4710,SDS,True,ELASTOSIL® 4710 TRANSPARENT S1,,10,google,gemini-2.5-flash,8672,3161,0,34230,,"{'attribute': 'physical_form', 'warning': ""Conflicting values found: 'liquid' (physical state) and 'paste' (form). Prioritized 'paste' as more specific for consistency."", 'source_section': '9.1', 'raw_string': 'Physical state .......................................................... : liquid\nForm ........................................................................ : paste'}; {'attribute': 'ghs_statements', 'warning': ""Product is classified as 'Not a hazardous substance or mixture' and 'No labeling according to GHS required'. No specific H or P statements were found."", 'source_section': '2.1, 2.2', 'raw_string': 'Not a hazardous substance or mixture. No labeling according to GHS required.'}"
Elastosil-6000-SDS-en.pdf,ELASTOSIL,Elastosil 4710,SDS,True,ELASTOSIL® 4710 TRANSPARENT S1,,10,google,gemini-2.5-flash,15566,2880,0,30877,,"The 'cas_numbers' field in the schema is designed for a single product CAS. This product is a mixture, so component CAS numbers are listed under 'chemical_components' instead, and 'cas_numbers' for the product is set to null.; The product is generally characterized as 'Polydimethylsiloxan und Füllstoff und Hilfsstoff und Acetoxysilanvernetzer' in Section 3.2.1, but only specific hazardous components with concentrations are listed under 'chemical_components' as per schema design for detailed component breakdown."
ELASTOSIL-5000-TDS-en-2024.07.31.pdf,ELASTOSIL,Elastosil 5000,Brochure,True,ELASTOSIL® 5000,,15,google,gemini-2.5-flash,3883,3760,0,32256,,
Elastosil-5000-SDS-en.pdf,ELASTOSIL,Elastosil 5000,SDS,True,ELASTOSIL® 5000 WHITE S1,,12,google,gemini-2.5-flash,13907,2830,0,27188,,"The product is a mixture, and therefore does not have a single CAS number for the product itself. Component CAS numbers are listed in `chemical_components`."
ELASTOSIL-5002-TDS-en-2024.07.31.pdf,ELASTOSIL,Elastosil 5002,Brochure,True,ELASTOSIL® 5002,,15,google,gemini-2.5-flash,3699,2762,0,25496,,
Elastosil-5002-SDS-es.pdf,ELASTOSIL,Elastosil 5002,Brochure,True,ELASTOSIL® 5002 TRANSPARENT S1,"64742-46-7, 17689-77-9, 64-19-7",11,google,gemini-2.5-flash,9433,3465,0,51474,,"{'attribute': 'flash_point', 'warning': ""The product itself has no flash point ('no procede'), but its hydrolysis product (acetic acid) has explosion limits of 4-17 vol.% and lowers the flash point."", 'source_section': '9.2 Datos de Seguridad; 9.3 Indicaciones adicionales', 'raw_string': 'Punto de inflamación ............................................... : no procede; Los productos de hidrólisis bajan el punto de inflamación. Límites de explosión para el ácido acético liberado: 4 - 17 vol.%.', 'confidence': 'high'}"
ELASTOSIL-5100-TDS-en-2025.12.17.pdf,ELASTOSIL,Elastosil 5100,Brochure,True,ELASTOSIL® 5100,,16,google,gemini-2.5-flash,3707,3212,0,16588,,Acetic acid vapors are released during vulcanization and should not be inhaled for long periods or in high concentration. Good ventilation is necessary. Uncured silicone rubber in contact with eyes/mucous membranes should be rinsed thoroughly with water. Keep away from children.
Elastosil-5100-SDS-en.pdf,ELASTOSIL,Elastosil 5100,SDS,False,,,0,google,gemini-2.5-flash,0,0,0,565279,Server disconnected without sending a response.,
ELASTOSIL-5605-TDS-en-2024.06.16.pdf,ELASTOSIL,Elastosil 5605,Brochure,True,ELASTOSIL® 5605,,16,google,gemini-2.5-flash,2610,2509,0,23594,,
Elastosil-5605-SDS-en.pdf,ELASTOSIL,Elastosil 5605,SDS,False,,,0,google,gemini-2.5-flash,0,0,0,362129,The read operation timed out,
ELASTOSIL-6000-TDS-en-2024.07.31.pdf,ELASTOSIL,Elastosil 6000,Brochure,True,ELASTOSIL® 6000,,17,google,gemini-2.5-flash,3617,2580,0,17965,,"The 'Technical data' tables explicitly state: 'These figures are only intended as a guide and should not be used in preparing specifications.' Therefore, values from these tables are marked with confidence 'medium' and 'is_specification: false'."
Elastosil-6000-SDS-de.pdf,ELASTOSIL,Elastosil 6000,SDS,True,ELASTOSIL® 6000 TRANSPARENT S1,,9,google,gemini-2.5-flash,15586,4101,0,43311,,
Elastosil-6000-SDS-en.pdf,ELASTOSIL,Elastosil 6000,SDS,True,ELASTOSIL® 6000 TRANSPARENT S1,,12,google,gemini-2.5-flash,9178,2536,0,33818,,"The product itself is not classified as hazardous, but it hydrolyzes to form acetic acid (CAS-No. 64-19-7), which is classified concerning both physical and health hazards. This is a warning about a by-product, not a GHS statement for the product itself."
ELASTOSIL-6100-TDS-en-2024.06.16.pdf,ELASTOSIL,Elastosil 6100,Brochure,True,ELASTOSIL® 6100,,16,google,gemini-2.5-flash,3689,2715,0,19372,,
Elastosil-6100-SDS-de.pdf,ELASTOSIL,Elastosil 6100,SDS,True,ELASTOSIL® 6100 TRANSPARENT S1,,11,google,gemini-2.5-flash,18947,3596,0,30495,,"The product is classified as 'Kein gefährlicher(s) Stoff oder Gemisch' (Not a hazardous substance or mixture) but lists EUH statements as additional labeling, which is standard for non-classified mixtures containing hazardous components.; The 'cas_numbers' field in the schema is singular, but the product is a mixture without a single CAS number. Individual component CAS numbers are listed under 'chemical_components'.; The status for South Korea (AREC) is not a clear 'listed' statement, but rather an instruction to contact a representative, so it was not included in global_inventories."
Elastosil-6100-SDS-en.pdf,ELASTOSIL,Elastosil 6100,SDS,True,ELASTOSIL® 6100 TRANSPARENT S1,,11,google,gemini-2.5-flash,9755,2748,0,33930,,The 'S1' in the product name is not classified as a separate grade according to the provided grade classification hierarchy.; The cure system 'Acetoxy' is inferred from the mention of 'acetoxysilane cross-linker' and the hydrolysis product 'acetic acid'.
ELASTOSIL-E4-TDS-en-2026.01.23.pdf,ELASTOSIL,Elastosil E4,Brochure,True,ELASTOSIL® E4,,18,google,gemini-2.5-flash,2728,1755,0,15506,,1.01 g/cm³
Elastosil-E4-RPI-en.pdf,ELASTOSIL,Elastosil E4,SDS,True,ELASTOSIL® E4 TRANSPARENT,,24,google,gemini-2.5-flash,2738,867,0,14795,,"The provided document is a 'Regulatory Product Information' (RPI), not an SDS as indicated in the prompt's 'Document Type' section. Consequently, many SDS-specific fields (e.g., GHS statements, UN number, CAS numbers, global inventories) are not present in this document."
Elastosil-E4-SDS-en.pdf,ELASTOSIL,Elastosil E4,SDS,True,ELASTOSIL® E4 TRANSPARENT,,10,google,gemini-2.5-flash,8822,2531,0,26706,,
Solid and liquid silicone rubber.pdf,ELASTOSIL,ELASTOSIL®,Brochure,True,ELASTOSIL® R 401/40 S,,13,google,gemini-2.5-flash,86454,3781,0,91735,,"The document is a general brochure, so many values are typical ranges or general statements, not specific to the chosen product. Confidence for most values is 'low' or 'medium'.; The revision_date is taken from the latest date on the product overview pages, as the main brochure itself doesn't have a single revision date.; The chemical components are general for silicone rubber, not specific to ELASTOSIL® R 401/40 S.; The temperature_range is a general property for silicone rubber, not specific to ELASTOSIL® R 401/40 S.; The shelf_life is a general property for solid silicone rubber, not specific to ELASTOSIL® R 401/40 S.; Usage restrictions are general for various types of silicone rubber and curing systems, not all may apply to ELASTOSIL® R 401/40 S.; Packaging options are general for solid silicone rubber, not specific to ELASTOSIL® R 401/40 S.; Certifications are listed as 'X' in the table, indicating compliance, but without further details on the specific certification body or full standard name beyond the footnote reference."
FERMOPURE-L-Cysteine-PHARMA-TDS-en-2025.04.10.pdf,FERMOPURE,FERMOPURE® L-Cysteine PHARMA,Brochure,True,FERMOPURE® L-Cysteine PHARMA,7048-04-6,11,google,gemini-2.5-flash,3232,2066,995,16745,,
FERMOPURE® L-CYSTEINE PHARMA L-Cysteine Hydrochloride Monohydrate-SDS-en.pdf,FERMOPURE,FERMOPURE® L-Cysteine PHARMA,SDS,True,FERMOPURE® L-CYSTEINE PHARMA,7048-04-6,10,google,gemini-2.5-flash,10019,3198,0,24147,,"Purity is given as an upper limit ('<100.0 wt.%') rather than a precise value.; Density is stated as 'no data available', but bulk density ('800 kg/m³') is provided and used."
FERMOPURE-Natural-L-Cystine-FOOD-TDS-en-2024.06.16.pdf,FERMOPURE,FERMOPURE® Natural L-Cystine FOOD,Brochure,True,FERMOPURE® Natural L-Cystine FOOD,56-89-3,14,google,gemini-2.5-flash,3049,1831,0,27128,,"The 'Specification' table on Page 2 contains values, but the disclaimer states 'These figures are only intended as a guide and should not be used in preparing specifications.' Therefore, values from this table are marked with `is_specification: false`."
FERMOPURE® NATURAL L-CYSTINE FOOD-SDS-en.pdf,FERMOPURE,FERMOPURE® Natural L-Cystine FOOD,SDS,True,FERMOPURE® NATURAL L-CYSTINE FOOD,56-89-3,10,google,gemini-2.5-flash,9488,2540,0,27496,,
FERMOPURE-VEGAN-L-CYSTEIN-FOOD-20-Low-Perchlorate-TDS-en-2025.10.15.pdf,FERMOPURE,FERMOPURE® VEGAN L-CYSTEIN FOOD 20 Low Perchlorate,SDS,True,FERMOPURE® VEGAN L-CYSTEIN FOOD 20 Low Perchlorate,7048-04-6,13,google,gemini-2.5-flash,2924,1709,0,25755,,"The prompt specified the document type as 'Safety Data Sheet (SDS)', but the provided content is structured like a Technical Data Sheet (TDS) and does not contain the typical sections (e.g., GHS statements, UN number, global inventories) expected in an SDS. Consequently, several SDS-specific attributes could not be extracted.; The extracted 'temperature_range' refers to storage temperature recommendations, not application temperature range."
FERMOPURE® VEGAN L-CYSTEIN FOOD 20 Low Perchlorate-SDS-de.pdf,FERMOPURE,FERMOPURE® VEGAN L-CYSTEIN FOOD 20 Low Perchlorate,SDS,True,FERMOPURE® VEGAN L-CYSTEIN FOOD 20 Low Perchlorate,7048-04-6,9,google,gemini-2.5-flash,13810,4178,0,43093,,"{'attribute': 'density', 'reason': 'True density is not available. Bulk density is provided: 746 kg/m³.', 'source_section': 'ABSCHNITT 9: Physikalische und chemische Eigenschaften', 'raw_string': 'Schüttdichte ......................................................... : 746 kg/m³'}; {'attribute': 'purity', 'reason': ""Purity is given as '<100 %' for the main component, not a precise numerical value."", 'source_section': 'ABSCHNITT 3: Zusammensetzung/Angaben zu Bestandteilen', 'raw_string': 'Cysteinhydrochlorid Monohydrat <100 %'}"
FERMOPURE-Vegan-L-Cysteine-FOOD-20-TDS-en-2024.06.16.pdf,FERMOPURE,FERMOPURE® Vegan L-Cysteine FOOD 20,Brochure,True,FERMOPURE® Vegan L-Cysteine Food 20,7048-04-6,14,google,gemini-2.5-flash,2970,1396,0,16698,,
FERMOPURE® VEGAN L-CYSTEINE FOOD 20 L-Cysteine Hydrochl. Monohydr. 20 Mesh-SDS-en.pdf,FERMOPURE,FERMOPURE® Vegan L-Cysteine FOOD 20,SDS,True,FERMOPURE® VEGAN L-CYSTEINE FOOD 20,7048-04-6,9,google,gemini-2.5-flash,9186,3000,0,46856,,"Purity is given as a range '<100 %' for the main component.; The product name includes '20 Mesh' which indicates particle size, but 'FOOD' is classified as the primary grade."
FERMOPURE-Vegan-L-Cysteine-INFANT-FOOD-TDS-en-2025.11.06.pdf,FERMOPURE,FERMOPURE® Vegan L-Cysteine INFANT FOOD,Brochure,True,FERMOPURE® Vegan L-Cysteine INFANT FOOD,7048-04-6,12,google,gemini-2.5-flash,3608,1968,0,24317,,"Temperature range refers to storage conditions, not application or processing."
FERMOPURE® VEGAN L-CYSTEINE INFANT FOOD L-Cysteine Hydrochloride Monohydrate-SDS-en.pdf,FERMOPURE,FERMOPURE® Vegan L-Cysteine INFANT FOOD,SDS,True,FERMOPURE® VEGAN L-CYSTEINE INFANT FOOD,7048-04-6,9,google,gemini-2.5-flash,10005,3312,0,34685,,"The document provides 'Bulk density' (800 kg/m³) which is used for the 'density' attribute, as it is applicable for powders/solids."
FERMOPURE® – PLANT-BASED L-CYSTINE AND L-CYSTEINE.pdf,FERMOPURE,FERMOPURE®,Brochure,True,FERMOPURE® Plant-Based L-Cystine and L-Cysteine,7048-04-6,19,google,gemini-2.5-flash,5277,3323,0,47703,,"Multiple CAS numbers are listed for the FERMOPURE® product family (L-Cystine and L-Cysteine and their various forms). The CAS number 7048-04-6 (L-Cysteine HCl H2O) has been selected for the `cas_numbers` field as it is frequently listed, but other CAS numbers exist for different forms/grades within the family: 52-89-1 (L-Cysteine HCl anhydrous), 56-89-3 (L-Cystine), 52-90-4 (L-Cysteine Free base).; The 'Pet Food' application is currently only available in the United States, but soon to come to other regions, which implies a temporary regional restriction for this specific application."
"LIFE SCIENCE CHEMICALS FOR PHARMA, AGRO AND INDUSTRIAL APPLICATIONS.pdf",FERMOPURE,FERMOPURE®,Brochure,False,,,0,google,gemini-2.5-flash,0,0,0,123892,"504 DEADLINE_EXCEEDED. {'error': {'code': 504, 'message': 'Stream cancelled; RPC from prefill servable to decode servable failed; Failed to close the streaming context; status = CANCELLED: Stream cancelled; RPC from prefill servable to decode servable failed [type.googleapis.com/util.ErrorSpacePayload=\'RPC::CANCELLED\']\n=== Source Location Trace: ===\nnet/rpc/rpc-errorspace-util.cc:19\nlearning/serving/servables/wiz/remote_wiz_servable.cc:192\nlearning/serving/servables/wiz/prefill_remote_wiz_servable.cc:229\nlearning/serving/servables/wiz/wiz_servable.cc:2600\n;  Failed to run inference for model: go/debugonly  \nname: ""prod-common-global__/aistudio/gemini-v3p1s-rev19-calmriver-sc__main__/aistudio/gemini-v3p1s-rev19-calmriver-sc__2025112500__prefill__variantvlp__edb9ffad-cc4d-49b2-896f-cd8777b2b0b9""\nversion {\n  value: 1\n}\nsignature_name: ""serving_stream""\n', 'status': 'DEADLINE_EXCEEDED'}}",
GENIOSIL-CS-2-TDS-de-2025.05.27.pdf,GENIOSIL,GENIOSIL® CS 2,Brochure,True,GENIOSIL® CS 2,,16,google,gemini-2.5-flash,2941,1999,0,20072,,"The minimum shelf life date for each batch is specified on the product label.; Boiling point: 163 °C (EG-RL.A.2), Ignition temperature: 255 °C (DIN 51794)"
GENIOSIL® CS 2-RPI-en.pdf,GENIOSIL,GENIOSIL® CS 2,SDS,True,GENIOSIL® CS 2,,24,google,gemini-2.5-flash,2834,798,0,9038,,
GENIOSIL® CS 2-SDS-en.pdf,GENIOSIL,GENIOSIL® CS 2,SDS,True,GENIOSIL® CS 2,"78-10-4, 780-69-8",10,google,gemini-2.5-flash,15777,3863,0,30761,,
GENIOSIL-GF-56-TDS-en-2024.06.16.pdf,GENIOSIL,GENIOSIL® GF 56,SDS,True,GENIOSIL® GF 56,78-08-0,14,google,gemini-2.5-flash,3186,2398,0,25757,,GHS statements (H+P codes) could not be extracted as Section 2 (Hazard Identification) was not present in the provided document.; UN Number could not be extracted as Section 14 (Transport Information) was not present in the provided document.
GENIOSIL® GF 56-SDS-en.pdf,GENIOSIL,GENIOSIL® GF 56,SDS,True,GENIOSIL® GF 56,78-08-0,11,google,gemini-2.5-flash,62048,3808,0,37852,,
